,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions,Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",Snow,"Snow, Overcast","Snow, Partially cloudy"
14,russia,01/15/1970,32.1,29.9,31.5,0.0,9.2,1.1,87.5,91.51,Overcast,0,1,0,0,0,0,0,0,0
15,russia,01/16/1970,25.1,5.1,13.8,0.0,9.2,5.3,75.7,88.68,Overcast,0,1,0,0,0,0,0,0,0
16,russia,01/17/1970,1.1,-5.9,-1.5,0.0,11.4,6.2,8.6,93.03,Clear,1,0,0,0,0,0,0,0,0
17,russia,01/18/1970,1.1,-12.9,-4.1,0.0,9.2,6.2,36.3,85.68,Partially cloudy,0,0,1,0,0,0,0,0,0
18,russia,01/19/1970,8.9,-5.9,3.1,0.0,9.2,2.7,68.8,92.08,Partially cloudy,0,0,1,0,0,0,0,0,0
19,russia,01/20/1970,14.1,7.1,11.6,0.0,11.4,3.5,100.0,89.91,Overcast,0,1,0,0,0,0,0,0,0
20,russia,01/21/1970,19.1,14.1,15.9,0.0,11.4,3.0,87.5,83.73,Overcast,0,1,0,0,0,0,0,0,0
21,russia,01/22/1970,23.1,11.9,16.7,0.0,0.0,0.9,78.8,91.46,Overcast,0,1,0,0,0,0,0,0,0
22,russia,01/23/1970,23.1,11.9,17.1,0.0,4.7,1.2,67.5,92.18,Partially cloudy,0,0,1,0,0,0,0,0,0
23,russia,01/24/1970,23.1,10.1,17.9,0.0,4.7,2.9,87.5,91.5,Overcast,0,1,0,0,0,0,0,0,0
24,russia,01/25/1970,19.1,14.1,16.9,0.0,11.4,3.8,100.0,90.63,Overcast,0,1,0,0,0,0,0,0,0
25,russia,01/26/1970,20.9,16.1,19.0,0.0,11.4,5.7,81.3,87.75,Overcast,0,1,0,0,0,0,0,0,0
26,russia,01/27/1970,14.1,5.1,11.2,0.0,9.2,6.2,70.0,90.77,Partially cloudy,0,0,1,0,0,0,0,0,0
27,russia,01/28/1970,17.9,8.9,14.6,0.0,16.1,1.9,100.0,88.91,Overcast,0,1,0,0,0,0,0,0,0
28,russia,01/29/1970,2.9,-16.9,-6.7,0.0,26.4,4.6,66.3,75.73,Partially cloudy,0,0,1,0,0,0,0,0,0
29,russia,01/30/1970,-3.9,-18.1,-12.8,0.0,11.4,6.2,15.0,69.98,Clear,1,0,0,0,0,0,0,0,0
30,russia,01/31/1970,2.9,-18.1,-7.4,0.0,11.4,6.2,35.0,80.76,Partially cloudy,0,0,1,0,0,0,0,0,0
31,russia,02/01/1970,16.1,-2.1,10.2,0.0,18.3,5.6,95.7,89.94,Overcast,0,1,0,0,0,0,0,0,0
32,russia,02/02/1970,19.1,11.9,16.1,0.0,18.3,5.8,87.5,87.89,Overcast,0,1,0,0,0,0,0,0,0
33,russia,02/03/1970,19.1,5.1,12.8,0.0,13.9,6.2,43.8,57.06,Partially cloudy,0,0,1,0,0,0,0,0,0
34,russia,02/04/1970,26.9,14.1,19.9,0.0,16.1,2.0,100.0,90.69,Overcast,0,1,0,0,0,0,0,0,0
35,russia,02/05/1970,32.1,17.9,23.5,0.0,16.1,2.4,98.8,91.04,Overcast,0,1,0,0,0,0,0,0,0
36,russia,02/06/1970,32.1,10.1,18.7,0.0,13.9,6.8,63.8,80.09,Partially cloudy,0,0,1,0,0,0,0,0,0
37,russia,02/07/1970,14.1,7.1,10.9,0.0,9.2,4.4,84.3,81.45,Overcast,0,1,0,0,0,0,0,0,0
38,russia,02/08/1970,19.1,10.1,14.1,0.0,16.1,5.0,56.3,89.34,Partially cloudy,0,0,1,0,0,0,0,0,0
39,russia,02/09/1970,29.9,11.9,23.5,0.0,16.1,6.2,87.5,88.4,Overcast,0,1,0,0,0,0,0,0,0
40,russia,02/10/1970,29.9,28.1,29.3,0.0,11.4,6.2,96.3,92.06,Overcast,0,1,0,0,0,0,0,0,0
41,russia,02/11/1970,29.9,26.9,28.0,0.0,11.4,2.7,98.8,94.21,Overcast,0,1,0,0,0,0,0,0,0
42,russia,02/12/1970,25.1,2.9,13.8,0.0,16.1,5.8,42.9,82.98,Partially cloudy,0,0,1,0,0,0,0,0,0
43,russia,02/13/1970,11.9,-2.1,2.7,0.0,4.7,5.8,1.3,87.93,Clear,1,0,0,0,0,0,0,0,0
44,russia,02/14/1970,16.1,5.1,11.5,0.0,18.3,2.0,81.4,80.24,Overcast,0,1,0,0,0,0,0,0,0
45,russia,02/15/1970,25.1,17.9,20.5,0.0,18.3,4.4,80.0,84.41,Overcast,0,1,0,0,0,0,0,0,0
46,russia,02/16/1970,35.9,19.1,28.5,0.0,13.9,1.2,85.7,96.2,Overcast,0,1,0,0,0,0,0,0,0
47,russia,02/17/1970,34.1,10.1,19.6,0.0,13.9,5.0,60.0,80.11,Partially cloudy,0,0,1,0,0,0,0,0,0
48,russia,02/18/1970,16.1,5.1,10.5,0.0,11.4,3.3,71.3,86.58,Partially cloudy,0,0,1,0,0,0,0,0,0
49,russia,02/19/1970,17.9,14.1,16.2,0.0,13.9,1.8,100.0,88.08,Overcast,0,1,0,0,0,0,0,0,0
50,russia,02/20/1970,17.9,10.1,13.5,0.0,6.9,5.4,56.3,84.02,Partially cloudy,0,0,1,0,0,0,0,0,0
51,russia,02/21/1970,17.9,5.1,9.9,0.0,11.4,5.3,77.1,82.24,Overcast,0,1,0,0,0,0,0,0,0
52,russia,02/22/1970,20.9,7.1,15.1,0.0,9.2,3.4,95.0,90.92,Overcast,0,1,0,0,0,0,0,0,0
53,russia,02/23/1970,28.1,20.9,25.3,0.0,16.1,2.5,100.0,92.77,Overcast,0,1,0,0,0,0,0,0,0
54,russia,02/24/1970,26.9,23.1,24.8,0.0,16.1,4.7,100.0,88.35,Overcast,0,1,0,0,0,0,0,0,0
55,russia,02/25/1970,20.9,10.1,16.9,0.0,13.9,5.4,18.8,71.4,Clear,1,0,0,0,0,0,0,0,0
56,russia,02/26/1970,28.1,14.1,21.2,0.0,11.4,4.9,0.0,56.93,Clear,1,0,0,0,0,0,0,0,0
57,russia,02/27/1970,29.9,16.1,23.7,0.0,6.9,5.0,0.0,50.67,Clear,1,0,0,0,0,0,0,0,0
58,russia,02/28/1970,25.1,14.1,20.5,0.0,16.1,4.4,66.3,68.24,Partially cloudy,0,0,1,0,0,0,0,0,0
59,russia,03/01/1970,26.9,20.9,23.2,0.0,16.1,1.9,100.0,90.64,Overcast,0,1,0,0,0,0,0,0,0
60,russia,03/02/1970,26.9,19.1,23.3,0.0,16.1,1.4,100.0,92.01,Overcast,0,1,0,0,0,0,0,0,0
61,russia,03/03/1970,26.9,16.1,21.6,0.0,13.9,2.9,100.0,91.78,Overcast,0,1,0,0,0,0,0,0,0
62,russia,03/04/1970,32.1,23.1,26.9,0.0,9.2,2.3,47.5,83.78,Partially cloudy,0,0,1,0,0,0,0,0,0
63,russia,03/05/1970,29.9,19.1,25.0,0.0,18.3,3.0,58.8,80.7,Partially cloudy,0,0,1,0,0,0,0,0,0
64,russia,03/06/1970,32.1,26.9,28.9,0.0,21.9,6.2,96.3,79.45,Overcast,0,1,0,0,0,0,0,0,0
65,russia,03/07/1970,26.9,20.9,23.5,0.0,21.9,6.4,68.8,81.97,Partially cloudy,0,0,1,0,0,0,0,0,0
66,russia,03/08/1970,25.1,14.1,18.4,0.0,16.1,6.2,26.3,66.66,Partially cloudy,0,0,1,0,0,0,0,0,0
67,russia,03/09/1970,23.1,7.1,16.3,0.0,13.9,6.2,41.3,57.96,Partially cloudy,0,0,1,0,0,0,0,0,0
68,russia,03/10/1970,32.1,14.1,22.9,0.0,11.4,4.9,0.0,57.28,Clear,1,0,0,0,0,0,0,0,0
69,russia,03/11/1970,34.1,19.1,27.8,0.0,4.7,4.7,0.0,39.4,Clear,1,0,0,0,0,0,0,0,0
70,russia,03/12/1970,35.9,17.9,28.5,0.0,6.9,5.0,38.8,41.1,Partially cloudy,0,0,1,0,0,0,0,0,0
71,russia,03/13/1970,28.1,20.9,25.3,0.0,13.9,4.0,96.3,77.16,Overcast,0,1,0,0,0,0,0,0,0
72,russia,03/14/1970,29.9,26.9,28.2,0.0,11.4,1.9,100.0,89.51,Overcast,0,1,0,0,0,0,0,0,0
73,russia,03/15/1970,34.1,28.1,30.3,0.0,9.2,2.1,97.5,94.97,Overcast,0,1,0,0,0,0,0,0,0
74,russia,03/16/1970,34.1,28.1,30.3,0.0,11.4,1.5,100.0,94.05,Overcast,0,1,0,0,0,0,0,0,0
75,russia,03/17/1970,28.1,23.1,27.3,0.0,16.1,2.3,93.8,93.43,Overcast,0,1,0,0,0,0,0,0,0
76,russia,03/18/1970,34.1,8.9,23.8,0.0,13.9,5.7,35.0,77.23,Partially cloudy,0,0,1,0,0,0,0,0,0
77,russia,03/19/1970,35.9,28.1,32.0,0.0,4.7,3.1,96.3,85.63,Overcast,0,1,0,0,0,0,0,0,0
78,russia,03/20/1970,37.1,29.9,34.4,0.0,11.4,4.3,100.0,87.82,Overcast,0,1,0,0,0,0,0,0,0
79,russia,03/21/1970,41.1,34.1,36.5,0.0,11.4,3.4,100.0,86.06,Overcast,0,1,0,0,0,0,0,0,0
80,russia,03/22/1970,37.1,28.1,33.3,0.0,16.1,5.4,61.3,79.61,Partially cloudy,0,0,1,0,0,0,0,0,0
81,russia,03/23/1970,35.9,26.9,31.9,0.0,9.2,5.8,80.0,80.96,Overcast,0,1,0,0,0,0,0,0,0
82,russia,03/24/1970,34.1,28.1,31.8,0.0,4.7,3.7,85.7,84.48,Overcast,0,1,0,0,0,0,0,0,0
83,russia,03/25/1970,35.9,20.9,30.7,0.0,16.1,5.8,51.3,71.1,Partially cloudy,0,0,1,0,0,0,0,0,0
84,russia,03/26/1970,37.1,25.1,31.1,0.0,9.2,5.4,51.3,70.56,Partially cloudy,0,0,1,0,0,0,0,0,0
85,russia,03/27/1970,35.9,23.1,29.5,0.0,13.9,6.2,3.8,64.94,Clear,1,0,0,0,0,0,0,0,0
86,russia,03/28/1970,37.1,19.1,29.2,0.0,16.1,5.8,7.5,68.11,Clear,1,0,0,0,0,0,0,0,0
87,russia,03/29/1970,28.1,25.1,27.3,0.0,18.3,2.4,100.0,87.26,Overcast,0,1,0,0,0,0,0,0,0
88,russia,03/30/1970,32.1,25.1,27.7,0.0,18.3,5.8,80.0,83.38,Overcast,0,1,0,0,0,0,0,0,0
89,russia,03/31/1970,32.1,23.1,28.4,0.0,18.3,5.6,81.3,82.57,Overcast,0,1,0,0,0,0,0,0,0
90,russia,04/01/1970,41.1,17.9,30.9,0.0,11.4,5.4,27.5,78.69,Partially cloudy,0,0,1,0,0,0,0,0,0
91,russia,04/02/1970,46.1,34.1,39.4,0.0,16.1,4.3,65.0,79.9,Partially cloudy,0,0,1,0,0,0,0,0,0
92,russia,04/03/1970,38.9,35.9,37.9,0.0,9.2,1.8,100.0,93.71,Overcast,0,1,0,0,0,0,0,0,0
93,russia,04/04/1970,44.9,37.1,40.8,0.0,16.1,5.0,92.5,80.78,Overcast,0,1,0,0,0,0,0,0,0
94,russia,04/05/1970,38.9,37.1,38.0,0.0,16.1,3.9,97.5,92.96,Overcast,0,1,0,0,0,0,0,0,0
95,russia,04/06/1970,41.1,37.1,39.0,0.0,9.2,2.3,100.0,94.8,Overcast,0,1,0,0,0,0,0,0,0
96,russia,04/07/1970,41.1,37.1,39.2,0.0,16.1,4.7,97.5,89.54,Overcast,0,1,0,0,0,0,0,0,0
97,russia,04/08/1970,43.1,35.9,37.3,0.0,16.1,4.7,62.5,84.68,Partially cloudy,0,0,1,0,0,0,0,0,0
98,russia,04/09/1970,52.1,29.9,42.1,0.0,6.9,4.3,3.8,73.46,Clear,1,0,0,0,0,0,0,0,0
99,russia,04/10/1970,50.1,35.9,43.3,0.0,16.1,2.9,56.3,81.08,Partially cloudy,0,0,1,0,0,0,0,0,0
100,russia,04/11/1970,52.1,38.9,44.8,0.0,16.1,4.8,51.3,69.91,Partially cloudy,0,0,1,0,0,0,0,0,0
101,russia,04/12/1970,52.1,38.9,44.0,0.0,16.1,6.2,72.5,71.68,Partially cloudy,0,0,1,0,0,0,0,0,0
102,russia,04/13/1970,41.1,35.9,37.4,0.0,16.1,3.3,97.5,83.54,Overcast,0,1,0,0,0,0,0,0,0
103,russia,04/14/1970,38.9,34.1,36.9,0.0,16.1,2.4,100.0,96.55,Overcast,0,1,0,0,0,0,0,0,0
104,russia,04/15/1970,41.1,32.1,35.9,0.0,13.9,7.8,43.8,59.81,Partially cloudy,0,0,1,0,0,0,0,0,0
105,russia,04/16/1970,47.9,26.9,39.1,0.0,9.2,7.8,25.0,49.87,Clear,1,0,0,0,0,0,0,0,0
106,russia,04/17/1970,46.1,34.1,40.7,0.0,11.4,6.2,74.3,56.89,Partially cloudy,0,0,1,0,0,0,0,0,0
107,russia,04/18/1970,50.1,35.9,43.7,0.0,6.9,6.2,85.7,58.31,Overcast,0,1,0,0,0,0,0,0,0
108,russia,04/19/1970,41.1,35.9,39.5,0.0,13.9,5.4,100.0,78.55,Overcast,0,1,0,0,0,0,0,0,0
109,russia,04/20/1970,44.9,32.1,39.2,0.0,11.4,6.2,91.3,45.91,Overcast,0,1,0,0,0,0,0,0,0
110,russia,04/21/1970,46.1,35.9,40.8,0.0,21.9,4.2,98.8,83.57,Overcast,0,1,0,0,0,0,0,0,0
111,russia,04/22/1970,52.1,37.1,43.7,0.0,18.3,6.6,78.8,71.67,Overcast,0,1,0,0,0,0,0,0,0
112,russia,04/23/1970,44.9,35.9,39.2,0.0,18.3,7.0,70.0,71.83,Partially cloudy,0,0,1,0,0,0,0,0,0
113,russia,04/24/1970,46.1,35.9,41.4,0.0,11.4,3.9,87.5,89.93,Overcast,0,1,0,0,0,0,0,0,0
114,russia,04/25/1970,55.1,43.1,48.7,0.0,13.9,5.8,76.3,74.14,Overcast,0,1,0,0,0,0,0,0,0
115,russia,04/26/1970,62.9,35.9,53.2,0.0,13.9,7.8,50.0,49.46,Partially cloudy,0,0,1,0,0,0,0,0,0
116,russia,04/27/1970,71.9,52.1,63.7,0.0,16.1,5.8,58.8,60.12,Partially cloudy,0,0,1,0,0,0,0,0,0
117,russia,04/28/1970,64.1,46.1,58.7,0.0,16.1,6.6,61.3,59.75,Partially cloudy,0,0,1,0,0,0,0,0,0
118,russia,04/29/1970,59.1,43.1,50.2,0.0,11.4,5.9,70.0,69.87,Partially cloudy,0,0,1,0,0,0,0,0,0
119,russia,04/30/1970,56.9,46.1,52.4,0.0,18.3,6.2,71.3,78.83,Partially cloudy,0,0,1,0,0,0,0,0,0
120,russia,05/01/1970,55.1,41.1,49.6,0.0,13.9,6.2,86.3,65.99,Overcast,0,1,0,0,0,0,0,0,0
121,russia,05/02/1970,77.1,47.9,64.5,0.0,13.9,6.2,8.8,45.82,Clear,1,0,0,0,0,0,0,0,0
122,russia,05/03/1970,79.1,59.1,70.4,0.0,9.2,6.2,50.0,42.74,Partially cloudy,0,0,1,0,0,0,0,0,0
123,russia,05/04/1970,82.1,59.1,72.1,0.0,9.2,6.2,3.8,48.47,Clear,1,0,0,0,0,0,0,0,0
124,russia,05/05/1970,77.1,62.9,70.2,0.0,9.2,5.8,42.5,52.83,Partially cloudy,0,0,1,0,0,0,0,0,0
125,russia,05/06/1970,80.9,59.1,70.0,0.0,11.4,6.2,40.0,45.37,Partially cloudy,0,0,1,0,0,0,0,0,0
126,russia,05/07/1970,77.1,53.9,65.9,0.0,11.4,6.2,61.3,56.28,Partially cloudy,0,0,1,0,0,0,0,0,0
127,russia,05/08/1970,50.1,41.1,46.7,0.0,11.4,6.2,60.0,70.17,Partially cloudy,0,0,1,0,0,0,0,0,0
128,russia,05/09/1970,50.1,41.1,45.2,0.0,9.2,6.2,90.0,78.45,Overcast,0,1,0,0,0,0,0,0,0
129,russia,05/10/1970,56.9,44.9,51.6,0.0,6.9,6.2,91.3,71.66,Overcast,0,1,0,0,0,0,0,0,0
130,russia,05/11/1970,56.9,44.9,51.3,0.0,11.4,7.0,17.5,49.65,Clear,1,0,0,0,0,0,0,0,0
131,russia,05/12/1970,59.1,41.1,50.7,0.0,6.9,6.2,6.3,43.56,Clear,1,0,0,0,0,0,0,0,0
132,russia,05/13/1970,62.9,43.1,54.6,0.0,6.9,6.2,0.0,37.98,Clear,1,0,0,0,0,0,0,0,0
133,russia,05/14/1970,65.9,46.1,56.6,0.0,13.9,6.2,50.0,43.06,Partially cloudy,0,0,1,0,0,0,0,0,0
134,russia,05/15/1970,64.1,46.1,56.7,0.0,9.2,5.8,31.3,50.81,Partially cloudy,0,0,1,0,0,0,0,0,0
135,russia,05/16/1970,52.1,41.1,46.6,0.0,13.9,5.8,40.0,60.45,Partially cloudy,0,0,1,0,0,0,0,0,0
136,russia,05/17/1970,55.1,37.1,46.8,0.0,9.2,8.5,0.0,45.15,Clear,1,0,0,0,0,0,0,0,0
137,russia,05/18/1970,59.1,38.9,52.0,0.0,9.2,6.2,56.3,43.45,Partially cloudy,0,0,1,0,0,0,0,0,0
138,russia,05/19/1970,64.1,50.1,57.5,0.0,13.9,6.2,77.5,39.49,Overcast,0,1,0,0,0,0,0,0,0
139,russia,05/20/1970,71.9,52.1,60.7,0.0,19.5,6.2,44.3,47.98,Partially cloudy,0,0,1,0,0,0,0,0,0
140,russia,05/21/1970,61.1,47.9,53.8,0.0,2.2,6.2,53.8,67.78,Partially cloudy,0,0,1,0,0,0,0,0,0
141,russia,05/22/1970,68.1,46.1,60.6,0.0,9.2,5.8,26.3,52.96,Partially cloudy,0,0,1,0,0,0,0,0,0
142,russia,05/23/1970,73.1,56.9,63.3,0.0,13.9,5.8,67.5,60.02,Partially cloudy,0,0,1,0,0,0,0,0,0
143,russia,05/24/1970,56.9,46.1,52.9,0.0,13.9,4.7,98.8,84.55,Overcast,0,1,0,0,0,0,0,0,0
144,russia,05/25/1970,44.9,38.9,42.4,0.0,16.1,6.2,83.8,69.48,Overcast,0,1,0,0,0,0,0,0,0
145,russia,05/26/1970,44.9,37.1,40.0,0.0,9.2,6.2,85.0,86.59,Overcast,0,1,0,0,0,0,0,0,0
146,russia,05/27/1970,61.1,37.1,51.6,0.0,11.4,7.4,7.5,55.82,Clear,1,0,0,0,0,0,0,0,0
147,russia,05/28/1970,64.1,43.1,55.2,0.0,9.2,6.2,37.5,48.92,Partially cloudy,0,0,1,0,0,0,0,0,0
148,russia,05/29/1970,61.1,46.1,53.8,0.0,11.4,6.2,57.5,54.44,Partially cloudy,0,0,1,0,0,0,0,0,0
149,russia,05/30/1970,56.9,47.9,51.3,0.0,6.9,6.2,37.5,64.9,Partially cloudy,0,0,1,0,0,0,0,0,0
150,russia,05/31/1970,70.1,46.1,58.7,0.0,6.9,6.2,52.5,57.39,Partially cloudy,0,0,1,0,0,0,0,0,0
151,russia,06/01/1970,73.1,55.1,64.2,0.0,11.4,6.2,76.3,62.64,Overcast,0,1,0,0,0,0,0,0,0
152,russia,06/02/1970,74.9,56.9,66.2,0.0,11.4,5.4,71.3,59.3,Partially cloudy,0,0,1,0,0,0,0,0,0
153,russia,06/03/1970,77.1,56.9,67.0,0.0,4.7,5.4,45.0,60.43,Partially cloudy,0,0,1,0,0,0,0,0,0
154,russia,06/04/1970,77.1,56.9,67.7,0.0,9.2,4.7,62.5,58.48,Partially cloudy,0,0,1,0,0,0,0,0,0
155,russia,06/05/1970,70.1,59.1,64.3,0.0,9.2,5.8,86.3,72.33,Overcast,0,1,0,0,0,0,0,0,0
156,russia,06/06/1970,74.9,59.1,67.5,0.0,4.7,5.8,56.3,60.01,Partially cloudy,0,0,1,0,0,0,0,0,0
157,russia,06/07/1970,77.1,56.9,68.4,0.0,11.4,6.2,35.0,60.31,Partially cloudy,0,0,1,0,0,0,0,0,0
158,russia,06/08/1970,65.9,55.1,60.4,0.0,11.4,6.2,16.3,47.51,Clear,1,0,0,0,0,0,0,0,0
159,russia,06/09/1970,65.9,50.1,59.2,0.0,9.2,6.2,12.9,39.8,Clear,1,0,0,0,0,0,0,0,0
160,russia,06/10/1970,74.9,50.1,65.1,0.0,6.9,6.2,25.0,49.15,Clear,1,0,0,0,0,0,0,0,0
161,russia,06/11/1970,77.1,55.1,67.6,0.0,13.9,6.2,53.8,49.43,Partially cloudy,0,0,1,0,0,0,0,0,0
162,russia,06/12/1970,74.9,61.1,68.6,0.0,16.1,6.2,72.5,47.57,Partially cloudy,0,0,1,0,0,0,0,0,0
163,russia,06/13/1970,74.9,62.9,69.3,0.0,26.4,6.2,72.9,55.08,Partially cloudy,0,0,1,0,0,0,0,0,0
164,russia,06/14/1970,65.9,50.1,58.4,0.0,9.2,5.8,95.0,88.51,Overcast,0,1,0,0,0,0,0,0,0
165,russia,06/15/1970,61.1,47.9,53.4,0.0,11.4,4.5,100.0,88.0,Overcast,0,1,0,0,0,0,0,0,0
166,russia,06/16/1970,47.9,46.1,47.3,0.0,13.9,5.8,100.0,92.52,Overcast,0,1,0,0,0,0,0,0,0
167,russia,06/17/1970,55.1,46.1,50.3,0.0,13.9,5.0,100.0,82.87,Overcast,0,1,0,0,0,0,0,0,0
168,russia,06/18/1970,62.9,50.1,57.7,0.0,6.9,7.8,92.5,61.58,Overcast,0,1,0,0,0,0,0,0,0
169,russia,06/19/1970,68.1,52.1,58.3,0.0,13.9,6.2,73.8,66.77,Partially cloudy,0,0,1,0,0,0,0,0,0
170,russia,06/20/1970,62.9,47.9,56.6,0.0,11.4,6.2,52.5,55.54,Partially cloudy,0,0,1,0,0,0,0,0,0
171,russia,06/21/1970,59.1,50.1,55.5,0.0,16.1,5.8,81.3,75.81,Overcast,0,1,0,0,0,0,0,0,0
172,russia,06/22/1970,50.1,46.1,47.5,0.0,13.9,7.0,80.0,77.73,Overcast,0,1,0,0,0,0,0,0,0
173,russia,06/23/1970,64.1,46.1,53.7,0.0,9.2,5.4,95.0,85.79,Overcast,0,1,0,0,0,0,0,0,0
174,russia,06/24/1970,64.1,52.1,58.6,0.0,6.9,6.6,61.3,61.05,Partially cloudy,0,0,1,0,0,0,0,0,0
175,russia,06/25/1970,68.1,50.1,60.3,0.0,4.7,6.2,37.5,55.08,Partially cloudy,0,0,1,0,0,0,0,0,0
176,russia,06/26/1970,71.9,52.1,63.4,0.0,4.7,5.0,36.3,58.26,Partially cloudy,0,0,1,0,0,0,0,0,0
177,russia,06/27/1970,77.1,56.9,67.7,0.0,13.9,5.8,26.3,52.36,Partially cloudy,0,0,1,0,0,0,0,0,0
178,russia,06/28/1970,73.1,59.1,65.6,0.0,11.4,6.2,52.5,61.7,Partially cloudy,0,0,1,0,0,0,0,0,0
179,russia,06/29/1970,73.1,56.9,63.9,0.0,6.9,6.2,67.5,71.52,Partially cloudy,0,0,1,0,0,0,0,0,0
180,russia,06/30/1970,77.1,56.9,68.3,0.0,4.7,6.2,62.9,60.19,Partially cloudy,0,0,1,0,0,0,0,0,0
181,russia,07/01/1970,74.9,61.1,67.0,0.0,9.2,5.5,65.0,69.87,Partially cloudy,0,0,1,0,0,0,0,0,0
182,russia,07/02/1970,77.1,59.1,70.3,0.0,11.4,5.4,47.5,60.76,Partially cloudy,0,0,1,0,0,0,0,0,0
183,russia,07/03/1970,77.1,65.9,70.8,0.0,11.4,6.2,77.5,71.91,Overcast,0,1,0,0,0,0,0,0,0
184,russia,07/04/1970,83.9,64.1,71.1,0.0,9.2,5.8,70.0,75.52,Partially cloudy,0,0,1,0,0,0,0,0,0
185,russia,07/05/1970,74.9,64.1,68.2,0.0,6.9,6.2,72.5,65.38,Partially cloudy,0,0,1,0,0,0,0,0,0
186,russia,07/06/1970,70.1,59.1,64.7,0.0,11.4,6.2,61.3,64.87,Partially cloudy,0,0,1,0,0,0,0,0,0
187,russia,07/07/1970,71.9,53.9,63.9,0.0,16.1,6.2,31.3,59.03,Partially cloudy,0,0,1,0,0,0,0,0,0
188,russia,07/08/1970,73.1,56.9,66.2,0.0,16.1,6.2,77.5,67.18,Overcast,0,1,0,0,0,0,0,0,0
189,russia,07/09/1970,73.1,55.1,65.5,0.0,11.4,6.2,18.8,54.23,Clear,1,0,0,0,0,0,0,0,0
190,russia,07/10/1970,73.1,55.1,66.0,0.0,9.2,6.2,7.5,51.62,Clear,1,0,0,0,0,0,0,0,0
191,russia,07/11/1970,77.1,56.9,67.8,0.0,11.4,6.2,56.3,70.25,Partially cloudy,0,0,1,0,0,0,0,0,0
192,russia,07/12/1970,71.9,59.1,65.2,0.0,13.9,6.2,50.0,59.55,Partially cloudy,0,0,1,0,0,0,0,0,0
193,russia,07/13/1970,64.1,56.9,60.3,0.0,11.4,6.2,77.5,71.71,Overcast,0,1,0,0,0,0,0,0,0
194,russia,07/15/1970,82.1,61.1,72.7,0.0,18.3,6.2,55.7,61.03,Partially cloudy,0,0,1,0,0,0,0,0,0
195,russia,07/16/1970,82.1,64.1,72.8,0.0,16.1,6.2,56.3,67.26,Partially cloudy,0,0,1,0,0,0,0,0,0
196,russia,07/17/1970,88.1,64.1,77.3,0.0,9.2,5.8,41.3,50.58,Partially cloudy,0,0,1,0,0,0,0,0,0
197,russia,07/18/1970,89.9,73.1,81.8,0.0,11.4,6.2,51.4,41.27,Partially cloudy,0,0,1,0,0,0,0,0,0
198,russia,07/19/1970,89.9,73.1,83.0,0.0,21.9,5.8,20.0,38.26,Clear,1,0,0,0,0,0,0,0,0
199,russia,07/20/1970,74.9,65.9,71.6,0.0,16.1,6.2,75.0,64.16,Partially cloudy,0,0,1,0,0,0,0,0,0
